Global frequency set at 1000000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.0.0.1
gem5 compiled Dec  1 2025 18:50:16
gem5 started Dec  1 2025 21:03:36
gem5 executing on foisat01-vm.mpi-sp.org, pid 1609432
command line: ./build/X86/gem5.opt --debug-flags=AddressTrace configs/my-configs/x86-memory-tracker.py

info: Using default config
Running the simulation
   4000: global: Accessing address 0xc3e00 from processor.cores0.core.data | Command: ReadReq
  11000: global: Accessing address 0xc3df8 from processor.cores0.core.data | Command: WriteReq
  13000: global: Accessing address 0xc3df0 from processor.cores0.core.data | Command: WriteReq
  22000: global: Accessing address 0xc3de8 from processor.cores0.core.data | Command: WriteReq
  26000: global: Accessing address 0xc3de0 from processor.cores0.core.data | Command: WriteReq
  29000: global: Accessing address 0xc3dd8 from processor.cores0.core.data | Command: WriteReq
  32000: global: Accessing address 0xc3dd0 from processor.cores0.core.data | Command: WriteReq
  36000: global: Accessing address 0xc3dc8 from processor.cores0.core.data | Command: WriteReq
  39000: global: Accessing address 0xc3dc0 from processor.cores0.core.data | Command: WriteReq
  45000: global: Accessing address 0xc3cf0 from processor.cores0.core.data | Command: WriteReq
  48000: global: Accessing address 0xc3cf8 from processor.cores0.core.data | Command: WriteReq
  50000: global: Accessing address 0xc3cec from processor.cores0.core.data | Command: WriteReq
  56000: global: Accessing address 0xc06c8 from processor.cores0.core.data | Command: WriteReq
  60000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
  64000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
  68000: global: Accessing address 0xc3cec from processor.cores0.core.data | Command: ReadReq
  70000: global: Accessing address 0xc3cf0 from processor.cores0.core.data | Command: ReadReq
  74000: global: Accessing address 0xc3df0 from processor.cores0.core.data | Command: ReadReq
  77000: global: Accessing address 0xc1cd8 from processor.cores0.core.data | Command: WriteReq
  80000: global: Accessing address 0xbea70 from processor.cores0.core.data | Command: WriteReq
  86000: global: Accessing address 0xc3e28 from processor.cores0.core.data | Command: ReadReq
  93000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
  97000: global: Accessing address 0xc3e30 from processor.cores0.core.data | Command: ReadReq
 100000: global: Accessing address 0xc27e0 from processor.cores0.core.data | Command: WriteReq
 107000: global: Accessing address 0xc3cd0 from processor.cores0.core.data | Command: WriteReq
